logged_at,reason,name,title,url,query
2026-04-26T08:00:35.401818Z,non_org_title,"List of Ngos, Charities and non-profits in Croatia - NGO Base","List of Ngos, Charities and non-profits in Croatia - NGO Base",,"""List of Ngos, Charities and non-profits in Croatia - NGO Base"" ""Croatia"" organization"
2026-04-26T08:00:35.965568Z,missing_url,HR/croatia-ngos,HR/croatia-ngos,,"""HR/croatia-ngos"" ""Croatia"" organization"
2026-04-26T08:00:36.517230Z,non_org_title,List of NGOs in Croatia - GlobalGiving Atlas,List of NGOs in Croatia - GlobalGiving Atlas,,"""List of NGOs in Croatia - GlobalGiving Atlas"" ""Croatia"" organization"
2026-04-26T08:00:37.078136Z,missing_url,Support to the work of associations - gov.hr,Support to the work of associations - gov.hr,,"""Support to the work of associations - gov.hr"" ""Croatia"" organization"
2026-04-26T08:00:37.633483Z,missing_url,Office for Cooperation with NGOs - Home - udruge,Office for Cooperation with NGOs - Home - udruge,,"""Office for Cooperation with NGOs - Home - udruge"" ""Croatia"" organization"
2026-04-26T08:00:38.188087Z,missing_url,EU Programmes Swiss,EU Programmes Swiss,,"""EU Programmes Swiss"" ""Croatia"" organization"
2026-04-26T08:00:38.743382Z,non_org_title,Associations and NGO in Croatia - Expat.com,Associations and NGO in Croatia - Expat.com,,"""Associations and NGO in Croatia - Expat.com"" ""Croatia"" organization"
2026-04-26T08:00:39.319982Z,non_org_title,"List of associations and NGOs in Croatia, non","List of associations and NGOs in Croatia, non",,"""List of associations and NGOs in Croatia, non"" ""Croatia"" organization"
2026-04-26T08:00:39.895894Z,missing_url,5 Charities Operating in Croatia - The Borgen Project,5 Charities Operating in Croatia - The Borgen Project,,"""5 Charities Operating in Croatia - The Borgen Project"" ""Croatia"" organization"
2026-04-26T08:00:40.490879Z,missing_url,Croatia | NGO Explorer,Croatia | NGO Explorer,,"""Croatia | NGO Explorer"" ""Croatia"" organization"
2026-04-26T08:00:41.033134Z,missing_url,Nonprofit Organizations in Croatia - ecohubmap.com,Nonprofit Organizations in Croatia - ecohubmap.com,,"""Nonprofit Organizations in Croatia - ecohubmap.com"" ""Croatia"" organization"
2026-04-26T08:00:41.588451Z,non_org_title,Choose one of the best Non,Choose one of the best Non,,"""Choose one of the best Non"" ""Croatia"" organization"
2026-04-26T08:00:42.148635Z,missing_url,Civil society index in Croatia - Ceraneo,Civil society index in Croatia - Ceraneo,,"""Civil society index in Croatia - Ceraneo"" ""Croatia"" organization"
2026-04-26T08:00:42.738774Z,missing_url,Croatia The Civil Society Organization Sustainability Index,Croatia The Civil Society Organization Sustainability Index,,"""Croatia The Civil Society Organization Sustainability Index"" ""Croatia"" organization"
